Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,AI ML,Software Engineering,Business Analysis,Data Science,Role
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Advanced,Excellent,Beginner,Beginner,AI ML Specialist
Beginner,Average,Beginner,Entry-level,Beginner,Beginner,Beginner,Expert,Beginner,Beginner,Beginner,AI ML Specialist
Beginner,No Experience,Beginner,Beginner,Beginner,Beginner,Beginner,Advanced,Beginner,Novice,Beginner,AI ML Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Professional,Excellent,Excellent,Excellent,AI ML Specialist
Average,Average,Average,Not Interested,Average,Average,Average,Professional,Average,Intermediate,Average,AI ML Specialist
Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,AI ML Specialist
Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Expert,Excellent,Excellent,Excellent,AI ML Specialist
Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,AI ML Specialist
Poor,Poor,Poor,Poor,Poor,Poor,,Professional,Poor,Excellent,Poor,AI ML Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Entry-level,Intermediate,AI ML Specialist
Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Expert,Excellent,Excellent,Excellent,AI ML Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Expert,Excellent,Excellent,Excellent,AI ML Specialist
Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Average,Not Interested,Professional,Not Interested,Not Interested,Not Interested,AI ML Specialist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,No Experience,AI ML Specialist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,AI ML Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,AI ML Specialist
Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,AI ML Specialist
Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,AI ML Specialist
Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Beginner,Professional,Beginner,,Beginner,AI ML Specialist
Average,Average,Average,Average,,Average,Average,Professional,,Excellent,Average,AI ML Specialist
Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Average,Professional,Average,Intermediate,Intermediate,AI ML Specialist
Average,Average,Average,Average,,Intermediate,Average,Professional,Average,Average,Average,AI ML Specialist
Intermediate,Intermediate,Intermediate,Average,Intermediate,Not Interested,Intermediate,Professional,Intermediate,Intermediate,Intermediate,AI ML Specialist
,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Professional,Excellent,Excellent,Excellent,AI ML Specialist
Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Advanced,Not Interested,Not Interested,Not Interested,AI ML Specialist
Beginner,Beginner,Beginner,Beginner,Intermediate,Novice,Beginner,Professional,,Beginner,Beginner,AI ML Specialist
Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,AI ML Specialist
Poor,No Experience,Poor,Poor,Poor,No Experience,Poor,Professional,Average,Poor,Poor,AI ML Specialist
Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Advanced,Intermediate,Intermediate,Intermediate,AI ML Specialist
Beginner,Novice,Beginner,Beginner,,Beginner,Beginner,Professional,Beginner,Beginner,Entry-level,AI ML Specialist
Average,Average,Average,Average,Average,Average,Average,,Average,Average,Average,AI ML Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Not Interested,Excellent,Excellent,AI ML Specialist
Beginner,Novice,,,Beginner,Beginner,Poor,Professional,Beginner,Beginner,Entry-level,AI ML Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,,Excellent,Excellent,Excellent,AI ML Specialist
Average,Average,,Average,Average,Average,Average,Professional,Intermediate,Intermediate,Average,AI ML Specialist
Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Professional,,Poor,Poor,AI ML Specialist
Intermediate,Competent,Not Interested,Intermediate,Intermediate,Intermediate,,Professional,Intermediate,Intermediate,Intermediate,AI ML Specialist
,Beginner,,Beginner,Beginner,,Beginner,Professional,Beginner,Beginner,Beginner,AI ML Specialist
,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,,Not Interested,Not Interested,AI ML Specialist
Excellent,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,AI ML Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Professional,Intermediate,Intermediate,Not Interested,AI ML Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,,Not Interested,AI ML Specialist
Average,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,AI ML Specialist
Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,AI ML Specialist
,Beginner,Beginner,Beginner,Entry-level,Beginner,Entry-level,Professional,,Beginner,Beginner,AI ML Specialist
Poor,Poor,Poor,Poor,Average,Poor,Professional,Poor,Poor,Poor,,AI ML Specialist
Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Professional,Poor,Poor,Poor,AI ML Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,AI ML Specialist
,Excellent,,,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,AI ML Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Professional,Beginner,Beginner,Beginner,AI ML Specialist
Average,,Average,Intermediate,Average,,Average,Professional,Average,Average,Average,AI ML Specialist
Average,Average,Average,Average,Average,Average,Average,Professional,Intermediate,Intermediate,Intermediate,AI ML Specialist
Poor,Poor,No Experience,Professional,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,AI ML Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Expert,Not Interested,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Professional,Beginner,Business Analyst
Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Professional,Not Interested,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Not Interested,Beginner,Beginner,Entry-level,Beginner,Novice,Beginner,Beginner,Beginner,Professional,Novice,Business Analyst
Intermediate,Intermediate,Average,Competent,Intermediate,Excellent,Intermediate,Competent,,Professional,Intermediate,Business Analyst
Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Expert,Excellent,Business Analyst
Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Business Analyst
Poor,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,,Poor,Business Analyst
Not Interested,No Experience,Not Interested,Not Interested,,Not Interested,,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Average,Average,Average,Average,Average,Average,,Average,Average,Professional,Average,Business Analyst
Poor,No Experience,Poor,Poor,Intermediate,No Experience,Poor,Poor,Poor,Professional,Poor,Business Analyst
Novice,Beginner,,Beginner,,Beginner,Beginner,Beginner,Beginner,Professional,Entry-level,Business Analyst
No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Business Analyst
Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Professional,Intermediate,Business Analyst
Not Interested,,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Professional,Not Interested,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Professional,Excellent,Business Analyst
Average,Average,Average,Intermediate,,Average,Average,Average,Average,Professional,Average,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,,Excellent,Business Analyst
Poor,Poor,Poor,Poor,No Experience,Poor,Poor,,Poor,Professional,Poor,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Professional,Excellent,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Professional,Excellent,Business Analyst
Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Excellent,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Competent,Intermediate,,Intermediate,Business Analyst
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Professional,Not Interested,Business Analyst
Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Professional,Average,Business Analyst
Intermediate,Average,Not Interested,Average,Average,Average,Average,Average,Average,Professional,Average,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Beginner,,Intermediate,Average,Average,Average,Average,Average,Average,Advanced,Average,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Professional,Excellent,Business Analyst
Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Professional,Beginner,Business Analyst
Competent,Intermediate,Intermediate,,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Professional,Competent,Business Analyst
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Business Analyst
Average,Average,Average,Average,Average,Average,Average,Average,Novice,Professional,Average,Business Analyst
Not Interested,Not Interested,Not Interested,,,Intermediate,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Expert,Not Interested,Business Analyst
Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Business Analyst
Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Professional,Average,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Average,Average,Average,Average,Average,Average,Average,Average,,Professional,Average,Business Analyst
Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Business Analyst
Average,Average,Average,Average,,Average,Intermediate,Average,Average,Expert,Average,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Average,Average,Average,Average,Average,Average,,,Average,Professional,Average,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Poor,Advanced,Excellent,Business Analyst
Poor,Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,No Experience,Expert,Poor,Business Analyst
No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,Professional,Poor,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Average,Intermediate,Intermediate,Professional,Intermediate,Business Analyst
Not Interested,Novice,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Average,Average,Intermediate,Professional,Intermediate,Business Analyst
Not Interested,Not Interested,Poor,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Average,Poor,Intermediate,Average,Average,Average,Average,Intermediate,Average,Professional,Average,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Competent,Intermediate,Professional,,Business Analyst
Beginner,,Beginner,Beginner,Beginner,Beginner,Entry-level,Novice,Beginner,Professional,Beginner,Business Analyst
Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Business Analyst
Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Professional,Beginner,Business Analyst
Intermediate,Not Interested,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Average,Business Analyst
Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Average,,Average,Average,Average,Average,,Average,Average,Professional,Average,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Expert,Intermediate,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Professional,Beginner,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Business Analyst
Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Professional,Excellent,Business Analyst
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Poor,Professional,Poor,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,,Excellent,Professional,Not Interested,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Professional,Beginner,Business Analyst
Entry-level,Beginner,Beginner,Beginner,Intermediate,Beginner,Novice,Beginner,Beginner,Professional,Beginner,Business Analyst
Average,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Professional,Poor,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Competent,Business Analyst
Excellent,,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Professional,Excellent,Business Analyst
Average,Average,,Average,Average,Average,Intermediate,Average,Average,Professional,Excellent,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Professional,Not Interested,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Business Analyst
Intermediate,Average,Average,,Intermediate,Poor,Average,Average,Average,Professional,Average,Business Analyst
Average,Average,Average,Average,Average,Average,Beginner,Intermediate,,Professional,Average,Business Analyst
Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,,Beginner,Beginner,Professional,Beginner,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,,Professional,Not Interested,Business Analyst
No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,Professional,Poor,Business Analyst
Average,Average,Intermediate,Average,Average,Average,Average,Average,Professional,Intermediate,Average,Business Analyst
No Experience,Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,Professional,No Experience,Business Analyst
Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Professional,Poor,Business Analyst
Poor,Poor,Poor,Poor,Poor,,Poor,Poor,,Professional,Poor,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Average,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Expert,Excellent,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Professional,Not Interested,Business Analyst
Poor,No Experience,Poor,Not Interested,Poor,Poor,Poor,No Experience,Poor,Professional,Poor,Business Analyst
,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Poor,Competent,Intermediate,Intermediate,Intermediate,,Average,Intermediate,Competent,Professional,Intermediate,Business Analyst
Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Advanced,Intermediate,Business Analyst
Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Average,Average,Intermediate,Average,Average,Average,Average,Intermediate,Average,Professional,Intermediate,Business Analyst
Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Business Analyst
Poor,Poor,Poor,No Experience,Poor,No Experience,,Poor,Poor,Professional,Poor,Business Analyst
Excellent,,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Professional,Average,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No Experience,Excellent,Professional,Excellent,Business Analyst
Poor,Poor,Poor,Poor,No Experience,Poor,,Poor,Poor,Professional,Poor,Business Analyst
Average,Average,Intermediate,Average,Average,Professional,Average,Average,Average,Average,Average,Business Analyst
Poor,No Experience,Poor,Poor,Poor,Average,Poor,,Poor,Professional,Poor,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,,,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Poor,Professional,Entry-level,Business Analyst
Poor,Poor,No Experience,Poor,Poor,Poor,Poor,No Experience,No Experience,Professional,Poor,Business Analyst
Average,Average,Average,Average,Average,Average,Not Interested,Average,Average,Expert,Average,Business Analyst
Average,Intermediate,Average,Average,Average,Average,,Average,Average,Professional,Average,Business Analyst
Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Professional,Excellent,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Competent,Business Analyst
Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Entry-level,Beginner,Beginner,Professional,Beginner,Business Analyst
Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Business Analyst
Average,Average,Average,Average,Average,Not Interested,Average,Average,Average,Expert,Average,Business Analyst
Competent,Intermediate,Intermediate,,Intermediate,Intermediate,Average,Not Interested,Intermediate,Professional,Intermediate,Business Analyst
Not Interested,Not Interested,No Experience,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Intermediate,Average,Beginner,Average,Average,Average,Average,Average,Average,Professional,,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Business Analyst
Poor,No Experience,Poor,Beginner,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Business Analyst
Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Professional,Intermediate,Business Analyst
Intermediate,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Business Analyst
Excellent,Excellent,Beginner,Excellent,,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Business Analyst
Average,Average,Average,Average,Average,Average,Average,Poor,Intermediate,Professional,Average,Business Analyst
Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Professional,Poor,Business Analyst
Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Professional,Average,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Professional,Beginner,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Poor,Business Analyst
Beginner,Entry-level,Entry-level,Beginner,Beginner,Beginner,,Beginner,Beginner,Professional,Beginner,Business Analyst
Poor,Poor,Poor,Poor,Poor,No Experience,Poor,No Experience,Poor,Professional,Poor,Business Analyst
Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,,Business Analyst
Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,,Business Analyst
,,Not Interested,Not Interested,Intermediate,Not Interested,No Experience,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Intermediate,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Business Analyst
Average,Average,Average,Intermediate,Average,Average,Excellent,Average,Average,Professional,Intermediate,Business Analyst
,Not Interested,,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Professional,No Experience,Business Analyst
Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Professional,Intermediate,Business Analyst
Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,,Professional,Not Interested,Business Analyst
Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Average,Average,,Average,Average,Average,Average,Average,Intermediate,Professional,Average,Business Analyst
Excellent,Intermediate,Excellent,,Excellent,,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Average,Average,Average,Average,,,Average,Average,Average,Expert,Average,Business Analyst
Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Not Interested,Beginner,Professional,Beginner,Business Analyst
Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,,,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,,Professional,Intermediate,Business Analyst
,Not Interested,Not Interested,Not Interested,,Intermediate,Not Interested,Not Interested,,Professional,Not Interested,Business Analyst
Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Not Interested,Business Analyst
Poor,Poor,,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,,Business Analyst
Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Professional,Poor,Business Analyst
Beginner,,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Professional,Not Interested,Business Analyst
Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Novice,Professional,Beginner,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Advanced,Excellent,Business Analyst
,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,Poor,Business Analyst
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Not Interested,Professional,Beginner,Business Analyst
Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Professional,No Experience,Business Analyst
Entry-level,Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Professional,Beginner,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Business Analyst
Beginner,Beginner,Beginner,Novice,Excellent,Entry-level,Beginner,Beginner,Beginner,Professional,Beginner,Business Analyst
,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Intermediate,Business Analyst
Poor,Poor,Poor,,Poor,Poor,Poor,Poor,Poor,Professional,No Experience,Business Analyst
Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Hardware Engineer
Excellent,Professional,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Hardware Engineer
Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Hardware Engineer
Excellent,Advanced,Excellent,Excellent,,,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Intermediate,Professional,Intermediate,,Intermediate,Average,Not Interested,Intermediate,Average,Intermediate,Intermediate,Hardware Engineer
Beginner,Professional,Beginner,Novice,Beginner,Beginner,Entry-level,Beginner,,Entry-level,Beginner,Hardware Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Average,Excellent,Excellent,Excellent,Hardware Engineer
Average,Expert,Average,Average,Average,Average,Average,Average,Average,Average,Average,Hardware Engineer
Excellent,Expert,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Hardware Engineer
Average,Professional,Average,Average,Average,Average,Average,Intermediate,Average,Intermediate,Average,Hardware Engineer
Intermediate,Professional,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Hardware Engineer
Excellent,Professional,Poor,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Not Interested,Professional,Not Interested,,Not Interested,Intermediate,Not Interested,,Not Interested,Not Interested,Not Interested,Hardware Engineer
Not Interested,Professional,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
