Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Data Science,Troubleshooting skills,Role
Poor,Poor,Poor,Poor,Poor,Poor,No Experience,No Experience,Poor,Professional,Poor,Poor,Poor,Poor,Not Interested,Technical Writer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Professional,Not Interested,Not Interested,Not Interested,Software tester
Average,Average,Average,Excellent,Average,Average,Average,Average,Average,,Average,Average,Average,Average,Intermediate,Technical Writer
Not Interested,Professional,No Experience,Not Interested,Not Interested,No Experience,,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Average,Not Interested,Hardware Engineer
Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Beginner,Hardware Engineer
Intermediate,Average,Not Interested,Intermediate,Intermediate,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Data Scientist
Poor,,Poor,Professional,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,Poor,Cyber Security Specialist
Poor,Average,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Technical Writer
Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Professional,Excellent,Excellent,Business Analyst
Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Data Scientist
Poor,,No Experience,Poor,Poor,No Experience,Poor,Excellent,Poor,Professional,Poor,Poor,No Experience,Poor,,Technical Writer
Average,Average,Average,Professional,Average,Average,Average,Intermediate,Average,Average,Average,Not Interested,Average,Average,Average,Cyber Security Specialist
Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Graphics Designer
Intermediate,Intermediate,Intermediate,Intermediate,Average,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Graphics Designer
Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Hardware Engineer
Average,Average,Average,Average,Not Interested,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Software Developer
Not Interested,Beginner,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Advanced,Not Interested,Not Interested,Not Interested,Software tester
Beginner,Beginner,,Beginner,Professional,Excellent,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Networking Engineer
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Average,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Information Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,No Experience,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Cyber Security Specialist
Average,Intermediate,Intermediate,Average,Expert,Average,Average,Average,Average,Average,Average,,Intermediate,Average,Average,Networking Engineer
Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,,Intermediate,Intermediate,Intermediate,AI ML Specialist
Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,No Experience,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Data Scientist
Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Professional,,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,API Specialist
Excellent,Poor,No Experience,Poor,Advanced,,Poor,Poor,Poor,No Experience,No Experience,No Experience,Poor,Poor,No Experience,Networking Engineer
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,,Hardware Engineer
No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Professional,Excellent,Poor,Poor,Software tester
Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Technical Writer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Technical Writer
Professional,Beginner,Not Interested,,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Database Administrator
,Average,Poor,Average,Professional,Intermediate,Average,Average,Average,Average,Average,Average,Average,Average,Average,Networking Engineer
Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Intermediate,Average,Average,Hardware Engineer
,Not Interested,Not Interested,,Not Interested,Not Interested,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,API Specialist
Beginner,Entry-level,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Intermediate,Beginner,Software Developer
Not Interested,,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Networking Engineer
Poor,Poor,Average,Professional,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Networking Engineer
Average,Average,Average,,Average,Average,Average,Average,Average,Average,Average,Professional,Intermediate,Average,Average,Software tester
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Graphics Designer
Average,Average,Average,Poor,Intermediate,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Professional,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,API Specialist
Poor,Professional,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Hardware Engineer
Professional,Beginner,Excellent,Beginner,Beginner,Entry-level,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,,Beginner,Database Administrator
Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,,Average,Intermediate,Intermediate,Intermediate,Intermediate,Networking Engineer
Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Excellent,Average,Average,Average,Technical Writer
Intermediate,Competent,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Customer Service Executive
No Experience,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,API Specialist
None,Professional,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Hardware Engineer
Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,,Poor,Poor,No Experience,No Experience,Poor,Professional,Poor,Data Scientist
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No Experience,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Technical Writer
No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,,Poor,Poor,Poor,No Experience,Poor,Information Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Entry-level,Beginner,Intermediate,Beginner,,Cyber Security Specialist
Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Information Security Specialist
Average,Professional,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Hardware Engineer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Business Analyst
Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Business Analyst
Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Business Analyst
None,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Beginner,No Experience,Not Interested,Software tester
Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Networking Engineer
Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Competent,Intermediate,Competent,Intermediate,Intermediate,Expert,Intermediate,Average,Intermediate,Software tester
Professional,Competent,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Database Administrator
Average,Average,Average,Average,Average,Average,Average,Average,,Average,,Average,Average,Average,Average,Information Security Specialist
Beginner,Entry-level,Entry-level,Beginner,Beginner,Beginner,,,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Business Analyst
Average,Average,Average,Professional,Average,Average,Intermediate,Average,Average,Intermediate,Average,Average,Average,Not Interested,Intermediate,Cyber Security Specialist
,Professional,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Hardware Engineer
Poor,Poor,Intermediate,,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Data Scientist
Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Average,Customer Service Executive
Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,,Excellent,Excellent,Excellent,Excellent,Technical Writer
Average,Average,Not Interested,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Networking Engineer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Graphics Designer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Expert,Not Interested,Not Interested,,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Poor,AI ML Specialist
Not Interested,Not Interested,Not Interested,,Not Interested,Professional,None,Not Interested,None,Not Interested,N/A,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
No Experience,,Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Customer Service Executive
Average,Expert,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Hardware Engineer
,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Beginner,Average,Intermediate,AI ML Specialist
Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Customer Service Executive
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Database Administrator
Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Networking Engineer
Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Intermediate,,Average,Average,Advanced,Average,Data Scientist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Information Security Specialist
Poor,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Networking Engineer
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Graphics Designer
Excellent,Excellent,Poor,Excellent,Excellent,Professional,Excellent,Excellent,,Excellent,,Excellent,Excellent,Excellent,Excellent,Software Developer
,Beginner,Beginner,Beginner,Beginner,Beginner,,Novice,Beginner,Beginner,Professional,Novice,Beginner,Beginner,Beginner,AI ML Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Poor,Not Interested,AI ML Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Customer Service Executive
Poor,Poor,Poor,Poor,Poor,No Experience,No Experience,Excellent,Poor,Poor,No Experience,Poor,Poor,Poor,No Experience,Customer Service Executive
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Poor,No Experience,Poor,Poor,Poor,Professional,Poor,,Poor,Poor,No Experience,Poor,,Poor,,Software Developer
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Not Interested,,Not Interested,Not Interested,Professional,Not Interested,Not Interested,,Not Interested,Intermediate,Not Interested,Not Interested,None,Not Interested,Not Interested,Networking Engineer
Excellent,Poor,Poor,,Poor,Poor,No Experience,Poor,Advanced,Poor,No Experience,Poor,Poor,Poor,,Information Security Specialist
,Average,Average,Average,Average,Average,,Average,Poor,Average,Average,Average,Average,Intermediate,Intermediate,Database Administrator
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,,AI ML Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Graphics Designer
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Graphics Designer
Excellent,Poor,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Advanced,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Poor,Beginner,,,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Networking Engineer
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,No Experience,Intermediate,Poor,Professional,Helpdesk Engineer
Intermediate,Average,Average,,Average,Average,Intermediate,Average,Average,Average,Excellent,Average,Average,Average,Average,Customer Service Executive
Average,Professional,Intermediate,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Hardware Engineer
Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Customer Service Executive
Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Excellent,Average,Average,Average,Average,Technical Writer
Entry-level,No Experience,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Graphics Designer
Not Interested,Not Interested,,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Graphics Designer
Average,Not Interested,Average,Average,Intermediate,Average,Average,Average,Average,Average,Intermediate,Average,Average,Professional,Average,Data Scientist
N/A,Not Interested,Not Interested,,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Networking Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Professional,Excellent,Technical Writer
Average,Average,Average,Average,Average,Intermediate,Average,Intermediate,Average,Average,Expert,Novice,Average,Average,,AI ML Specialist
Poor,Poor,Poor,,Poor,Professional,Poor,No Experience,Poor,Poor,Poor,,Poor,Excellent,Poor,Software Developer
Poor,Professional,Not Interested,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
Intermediate,Intermediate,Intermediate,,Competent,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Helpdesk Engineer
Average,Professional,Average,Average,Average,Average,Average,Poor,Average,Average,Average,Average,Average,Average,Average,Hardware Engineer
Professional,Average,Average,Average,Average,Intermediate,Average,Average,Average,Intermediate,Average,Average,Average,Intermediate,Average,Database Administrator
Average,Intermediate,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Information Security Specialist
Poor,Poor,Poor,Professional,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Business Analyst
Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Graphics Designer
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Technical Writer
Excellent,,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,API Specialist
Average,Professional,Average,Average,Average,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Hardware Engineer
Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Intermediate,Poor,No Experience,Poor,Poor,Poor,Professional,Poor,Data Scientist
Beginner,Entry-level,,Beginner,Beginner,Entry-level,Beginner,,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Information Security Specialist
Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Technical Writer
Professional,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Database Administrator
Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,,,Poor,Intermediate,AI ML Specialist
Intermediate,Average,,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Professional,Intermediate,Average,Intermediate,Intermediate,Average,Technical Writer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,API Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Excellent,Intermediate,Intermediate,Average,Professional,Intermediate,Intermediate,Intermediate,Software tester
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Graphics Designer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Software tester
Not Interested,Not Interested,Not Interested,Not Interested,Average,Professional,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Average,,Intermediate,Average,Average,,Professional,Average,Average,,Average,Average,Average,Average,Average,API Specialist
Intermediate,Intermediate,Intermediate,Expert,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,No Experience,,Not Interested,Not Interested,Professional,Helpdesk Engineer
Not Interested,Professional,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,No Experience,Hardware Engineer
No Experience,Poor,No Experience,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,Poor,Graphics Designer
Average,Average,Average,Professional,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Intermediate,Average,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,AI ML Specialist
,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,,Average,Average,Average,API Specialist
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,No Experience,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Professional,,Not Interested,No Experience,Software tester
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Advanced,Helpdesk Engineer
Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Data Scientist
Intermediate,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Excellent,Intermediate,Professional,Intermediate,Average,Intermediate,Intermediate,AI ML Specialist
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Hardware Engineer
Excellent,Not Interested,None,Professional,Not Interested,None,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,None,Not Interested,None,Cyber Security Specialist
Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,API Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Technical Writer
Beginner,Professional,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,No Experience,Excellent,Excellent,Excellent,Technical Writer
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Database Administrator
Average,Intermediate,Average,Average,Average,Average,Intermediate,Average,Average,Average,Professional,Poor,Average,Average,Average,AI ML Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Graphics Designer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Excellent,Professional,Not Interested,Not Interested,Business Analyst
Intermediate,Intermediate,Competent,Intermediate,Intermediate,Average,Intermediate,Competent,Average,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Technical Writer
Professional,Not Interested,Not Interested,Not Interested,No Experience,,Not Interested,Not Interested,Not Interested,No Experience,N/A,Not Interested,Intermediate,Not Interested,Not Interested,Database Administrator
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,,Professional,Beginner,Entry-level,Beginner,Beginner,AI ML Specialist
Average,Average,Average,Not Interested,Intermediate,Average,Average,Average,Average,Average,Average,Professional,Average,Intermediate,,Software tester
Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Intermediate,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Advanced,Not Interested,Not Interested,,Average,Not Interested,Not Interested,Information Security Specialist
Professional,No Experience,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,No Experience,Poor,Poor,Poor,Database Administrator
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Business Analyst
Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Graphics Designer
Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,Graphics Designer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,,Excellent,Excellent,Excellent,Excellent,Excellent,Information Security Specialist
